d(1, 1) = 1.41421
d(12790, 12790) = 18087.8
d(12791, 12791) = 18089.2
d(12792, 12792) = 18090.6
d(12793, 12793) = 18092
d(12794, 12794) = 18093.4
d(12795, 12795) = 18094.9
d(12796, 12796) = 18096.3
d(12797, 12797) = 18097.7
d(12798, 12798) = 18099.1
d(12799, 12799) = 18100.5
d(12800, 12800) = 18101.9
d(12801, 12801) = 18103.3
d(12802, 12802) = 18104.8
d(12803, 12803) = 18106.2
d(12804, 12804) = 18107.6
d(12805, 12805) = 18109
d(12806, 12806) = 18110.4
d(12807, 12807) = 18111.8
d(12808, 12808) = 18113.2
d(12809, 12809) = 18114.7
d(12810, 12810) = 18116.1
d(12811, 12811) = 18117.5
d(12812, 12812) = 18118.9
d(12813, 12813) = 18120.3
d(12814, 12814) = 18121.7
d(12815, 12815) = 18123.1
d(12816, 12816) = 18124.6
d(12817, 12817) = 18126
d(12818, 12818) = 18127.4
d(12819, 12819) = 18128.8
d(12820, 12820) = 18130.2
d(12821, 12821) = 18131.6
d(12822, 12822) = 18133
d(12823, 12823) = 18134.5
d(12824, 12824) = 18135.9
d(12825, 12825) = 18137.3
d(12826, 12826) = 18138.7
d(12827, 12827) = 18140.1
d(12828, 12828) = 18141.5
d(12829, 12829) = 18142.9
d(12830, 12830) = 18144.4
d(12831, 12831) = 18145.8
d(12832, 12832) = 18147.2
d(12833, 12833) = 18148.6
d(12834, 12834) = 18150
d(12835, 12835) = 18151.4
d(12836, 12836) = 18152.8
d(12837, 12837) = 18154.3
d(12838, 12838) = 18155.7
d(12839, 12839) = 18157.1
d(12840, 12840) = 18158.5
d(12841, 12841) = 18159.9
d(12842, 12842) = 18161.3
d(12843, 12843) = 18162.7
d(12844, 12844) = 18164.2
d(12845, 12845) = 18165.6
d(12846, 12846) = 18167
d(12847, 12847) = 18168.4
d(12848, 12848) = 18169.8
d(12849, 12849) = 18171.2
d(12850, 12850) = 18172.6
d(12851, 12851) = 18174.1
d(12852, 12852) = 18175.5
d(12853, 12853) = 18176.9
d(12854, 12854) = 18178.3
d(12855, 12855) = 18179.7
d(12856, 12856) = 18181.1
d(12857, 12857) = 18182.5
d(12858, 12858) = 18184
d(12859, 12859) = 18185.4
d(12860, 12860) = 18186.8
d(12861, 12861) = 18188.2
d(12862, 12862) = 18189.6
d(12863, 12863) = 18191
d(12864, 12864) = 18192.4
d(12865, 12865) = 18193.9
d(12866, 12866) = 18195.3
d(12867, 12867) = 18196.7
d(12868, 12868) = 18198.1
d(12869, 12869) = 18199.5
d(12870, 12870) = 18200.9
d(12871, 12871) = 18202.3
d(12872, 12872) = 18203.8
d(12873, 12873) = 18205.2
d(12874, 12874) = 18206.6
d(12875, 12875) = 18208
d(12876, 12876) = 18209.4
d(12877, 12877) = 18210.8
d(12878, 12878) = 18212.2
d(12879, 12879) = 18213.7
d(12880, 12880) = 18215.1
d(12881, 12881) = 18216.5
d(12882, 12882) = 18217.9
d(12883, 12883) = 18219.3
d(12884, 12884) = 18220.7
d(12885, 12885) = 18222.1
d(12886, 12886) = 18223.6
d(12887, 12887) = 18225
d(12888, 12888) = 18226.4
d(12889, 12889) = 18227.8
d(12890, 12890) = 18229.2
d(12891, 12891) = 18230.6
d(12892, 12892) = 18232
d(12893, 12893) = 18233.5
d(12894, 12894) = 18234.9
d(12895, 12895) = 18236.3
d(12896, 12896) = 18237.7
d(12897, 12897) = 18239.1
d(12898, 12898) = 18240.5
d(12899, 12899) = 18241.9
d(12900, 12900) = 18243.4
d(12901, 12901) = 18244.8
d(12902, 12902) = 18246.2
d(12903, 12903) = 18247.6
d(12904, 12904) = 18249
d(12905, 12905) = 18250.4
d(12906, 12906) = 18251.8
d(12907, 12907) = 18253.3
d(12908, 12908) = 18254.7
d(12909, 12909) = 18256.1
d(12910, 12910) = 18257.5
d(12911, 12911) = 18258.9
d(12912, 12912) = 18260.3
d(12913, 12913) = 18261.7
d(12914, 12914) = 18263.2
d(12915, 12915) = 18264.6
d(12916, 12916) = 18266
d(12917, 12917) = 18267.4
d(12918, 12918) = 18268.8
d(12919, 12919) = 18270.2
d(12920, 12920) = 18271.6
d(12921, 12921) = 18273.1
d(12922, 12922) = 18274.5
d(12923, 12923) = 18275.9
d(12924, 12924) = 18277.3
d(12925, 12925) = 18278.7
d(12926, 12926) = 18280.1
d(12927, 12927) = 18281.5
d(12928, 12928) = 18283
d(12929, 12929) = 18284.4
d(12930, 12930) = 18285.8
d(12931, 12931) = 18287.2
d(12932, 12932) = 18288.6
d(12933, 12933) = 18290
d(12934, 12934) = 18291.4
d(12935, 12935) = 18292.9
d(12936, 12936) = 18294.3
d(12937, 12937) = 18295.7
d(12938, 12938) = 18297.1
d(12939, 12939) = 18298.5
d(12940, 12940) = 18299.9
d(12941, 12941) = 18301.3
d(12942, 12942) = 18302.8
d(12943, 12943) = 18304.2
d(12944, 12944) = 18305.6
d(12945, 12945) = 18307
d(12946, 12946) = 18308.4
d(12947, 12947) = 18309.8
d(12948, 12948) = 18311.2
d(12949, 12949) = 18312.7
d(12950, 12950) = 18314.1
d(12951, 12951) = 18315.5
d(12952, 12952) = 18316.9
d(12953, 12953) = 18318.3
d(12954, 12954) = 18319.7
d(12955, 12955) = 18321.1
d(12956, 12956) = 18322.6
d(12957, 12957) = 18324
d(12958, 12958) = 18325.4
d(12959, 12959) = 18326.8
d(12960, 12960) = 18328.2
d(12961, 12961) = 18329.6
d(12962, 12962) = 18331
d(12963, 12963) = 18332.5
d(12964, 12964) = 18333.9
d(12965, 12965) = 18335.3
d(12966, 12966) = 18336.7
d(12967, 12967) = 18338.1
d(12968, 12968) = 18339.5
d(12969, 12969) = 18340.9
d(12970, 12970) = 18342.3
d(12971, 12971) = 18343.8
d(12972, 12972) = 18345.2
d(12973, 12973) = 18346.6
d(12974, 12974) = 18348
d(12975, 12975) = 18349.4
d(12976, 12976) = 18350.8
d(12977, 12977) = 18352.2
d(12978, 12978) = 18353.7
d(12979, 12979) = 18355.1
d(12980, 12980) = 18356.5
d(12981, 12981) = 18357.9
d(12982, 12982) = 18359.3
d(12983, 12983) = 18360.7
d(12984, 12984) = 18362.1
d(12985, 12985) = 18363.6
d(12986, 12986) = 18365
d(12987, 12987) = 18366.4
d(12988, 12988) = 18367.8
d(12989, 12989) = 18369.2
d(12990, 12990) = 18370.6
d(12991, 12991) = 18372
d(12992, 12992) = 18373.5
d(12993, 12993) = 18374.9
d(12994, 12994) = 18376.3
d(12995, 12995) = 18377.7
d(12996, 12996) = 18379.1
d(12997, 12997) = 18380.5
d(12998, 12998) = 18381.9
d(12999, 12999) = 18383.4
d(13000, 13000) = 18384.8
d(13001, 13001) = 18386.2
d(13002, 13002) = 18387.6
d(13003, 13003) = 18389
d(13004, 13004) = 18390.4
d(13005, 13005) = 18391.8
d(13006, 13006) = 18393.3
d(13007, 13007) = 18394.7
d(13008, 13008) = 18396.1
d(13009, 13009) = 18397.5
d(13010, 13010) = 18398.9
d(13011, 13011) = 18400.3
d(13012, 13012) = 18401.7
d(13013, 13013) = 18403.2
d(13014, 13014) = 18404.6
d(13015, 13015) = 18406
d(13016, 13016) = 18407.4
d(13017, 13017) = 18408.8
d(13018, 13018) = 18410.2
d(13019, 13019) = 18411.6
d(13020, 13020) = 18413.1
d(13021, 13021) = 18414.5
d(13022, 13022) = 18415.9
d(13023, 13023) = 18417.3
d(13024, 13024) = 18418.7
d(13025, 13025) = 18420.1
d(13026, 13026) = 18421.5
d(13027, 13027) = 18423
d(13028, 13028) = 18424.4
d(13029, 13029) = 18425.8
d(13030, 13030) = 18427.2
d(13031, 13031) = 18428.6
d(13032, 13032) = 18430
d(13033, 13033) = 18431.4
d(13034, 13034) = 18432.9
d(13035, 13035) = 18434.3
d(13036, 13036) = 18435.7
d(13037, 13037) = 18437.1
d(13038, 13038) = 18438.5
d(13039, 13039) = 18439.9
d(13040, 13040) = 18441.3
d(13041, 13041) = 18442.8
d(13042, 13042) = 18444.2
d(13043, 13043) = 18445.6
d(13044, 13044) = 18447
d(13045, 13045) = 18448.4
d(13046, 13046) = 18449.8
d(13047, 13047) = 18451.2
d(13048, 13048) = 18452.7
d(13049, 13049) = 18454.1
d(13050, 13050) = 18455.5
d(13051, 13051) = 18456.9
d(13052, 13052) = 18458.3
d(13053, 13053) = 18459.7
d(13054, 13054) = 18461.1
d(13055, 13055) = 18462.6
d(13056, 13056) = 18464
d(13057, 13057) = 18465.4
d(13058, 13058) = 18466.8
d(13059, 13059) = 18468.2
d(13060, 13060) = 18469.6
d(13061, 13061) = 18471
d(13062, 13062) = 18472.5
d(13063, 13063) = 18473.9
d(13064, 13064) = 18475.3
d(13065, 13065) = 18476.7
d(13066, 13066) = 18478.1
d(13067, 13067) = 18479.5
d(13068, 13068) = 18480.9
d(13069, 13069) = 18482.4
d(13070, 13070) = 18483.8
d(13071, 13071) = 18485.2
d(13072, 13072) = 18486.6
d(13073, 13073) = 18488
d(13074, 13074) = 18489.4
d(13075, 13075) = 18490.8
d(13076, 13076) = 18492.3
d(13077, 13077) = 18493.7
d(13078, 13078) = 18495.1
d(13079, 13079) = 18496.5
d(13080, 13080) = 18497.9
d(13081, 13081) = 18499.3
d(13082, 13082) = 18500.7
d(13083, 13083) = 18502.2
d(13084, 13084) = 18503.6
d(13085, 13085) = 18505
d(13086, 13086) = 18506.4
d(13087, 13087) = 18507.8
d(13088, 13088) = 18509.2
d(13089, 13089) = 18510.6
d(13090, 13090) = 18512.1
d(13091, 13091) = 18513.5
d(13092, 13092) = 18514.9
d(13093, 13093) = 18516.3
d(13094, 13094) = 18517.7
d(13095, 13095) = 18519.1
d(13096, 13096) = 18520.5
d(13097, 13097) = 18522
d(13098, 13098) = 18523.4
d(13099, 13099) = 18524.8
d(13100, 13100) = 18526.2
d(13101, 13101) = 18527.6
d(13102, 13102) = 18529
d(13103, 13103) = 18530.4
d(13104, 13104) = 18531.9
d(13105, 13105) = 18533.3
d(13106, 13106) = 18534.7
d(13107, 13107) = 18536.1
d(13108, 13108) = 18537.5
d(13109, 13109) = 18538.9
d(13110, 13110) = 18540.3
d(13111, 13111) = 18541.8
d(13112, 13112) = 18543.2
d(13113, 13113) = 18544.6
d(13114, 13114) = 18546
d(13115, 13115) = 18547.4
d(13116, 13116) = 18548.8
d(13117, 13117) = 18550.2
d(13118, 13118) = 18551.7
d(13119, 13119) = 18553.1
d(13120, 13120) = 18554.5
d(13121, 13121) = 18555.9
d(13122, 13122) = 18557.3
d(13123, 13123) = 18558.7
d(13124, 13124) = 18560.1
d(13125, 13125) = 18561.6
d(13126, 13126) = 18563
d(13127, 13127) = 18564.4
d(13128, 13128) = 18565.8
d(13129, 13129) = 18567.2
d(13130, 13130) = 18568.6
d(13131, 13131) = 18570
d(13132, 13132) = 18571.5
d(13133, 13133) = 18572.9
d(13134, 13134) = 18574.3
d(13135, 13135) = 18575.7
d(13136, 13136) = 18577.1
d(13137, 13137) = 18578.5
d(13138, 13138) = 18579.9
d(13139, 13139) = 18581.4
d(13140, 13140) = 18582.8
d(13141, 13141) = 18584.2
d(13142, 13142) = 18585.6
d(13143, 13143) = 18587
d(13144, 13144) = 18588.4
d(13145, 13145) = 18589.8
d(13146, 13146) = 18591.3
d(13147, 13147) = 18592.7
d(13148, 13148) = 18594.1
d(13149, 13149) = 18595.5
d(13150, 13150) = 18596.9
d(13151, 13151) = 18598.3
d(13152, 13152) = 18599.7
d(13153, 13153) = 18601.2
d(13154, 13154) = 18602.6
d(13155, 13155) = 18604
d(13156, 13156) = 18605.4
d(13157, 13157) = 18606.8
d(13158, 13158) = 18608.2
d(13159, 13159) = 18609.6
d(13160, 13160) = 18611.1
d(13161, 13161) = 18612.5
d(13162, 13162) = 18613.9
d(13163, 13163) = 18615.3
d(13164, 13164) = 18616.7
d(13165, 13165) = 18618.1
d(13166, 13166) = 18619.5
d(13167, 13167) = 18620.9
d(13168, 13168) = 18622.4
d(13169, 13169) = 18623.8
d(13170, 13170) = 18625.2
d(13171, 13171) = 18626.6
d(13172, 13172) = 18628
d(13173, 13173) = 18629.4
d(13174, 13174) = 18630.8
d(13175, 13175) = 18632.3
d(13176, 13176) = 18633.7
d(13177, 13177) = 18635.1
d(13178, 13178) = 18636.5
d(13179, 13179) = 18637.9
d(13180, 13180) = 18639.3
d(13181, 13181) = 18640.7
d(13182, 13182) = 18642.2
d(13183, 13183) = 18643.6
d(13184, 13184) = 18645
d(13185, 13185) = 18646.4
d(13186, 13186) = 18647.8
d(13187, 13187) = 18649.2
d(13188, 13188) = 18650.6
d(13189, 13189) = 18652.1
d(13190, 13190) = 18653.5
d(13191, 13191) = 18654.9
d(13192, 13192) = 18656.3
d(13193, 13193) = 18657.7
d(13194, 13194) = 18659.1
d(13195, 13195) = 18660.5
d(13196, 13196) = 18662
d(13197, 13197) = 18663.4
d(13198, 13198) = 18664.8
d(13199, 13199) = 18666.2
d(13200, 13200) = 18667.6
d(13201, 13201) = 18669
d(13202, 13202) = 18670.4
d(13203, 13203) = 18671.9
d(13204, 13204) = 18673.3
d(13205, 13205) = 18674.7
d(13206, 13206) = 18676.1
d(13207, 13207) = 18677.5
d(13208, 13208) = 18678.9
d(13209, 13209) = 18680.3
d(13210, 13210) = 18681.8
d(13211, 13211) = 18683.2
d(13212, 13212) = 18684.6
d(13213, 13213) = 18686
d(13214, 13214) = 18687.4
d(13215, 13215) = 18688.8
d(13216, 13216) = 18690.2
d(13217, 13217) = 18691.7
d(13218, 13218) = 18693.1
d(13219, 13219) = 18694.5
d(13220, 13220) = 18695.9
d(13221, 13221) = 18697.3
d(13222, 13222) = 18698.7
d(13223, 13223) = 18700.1
d(13224, 13224) = 18701.6
d(13225, 13225) = 18703
d(13226, 13226) = 18704.4
d(13227, 13227) = 18705.8
d(13228, 13228) = 18707.2
d(13229, 13229) = 18708.6
d(13230, 13230) = 18710
d(13231, 13231) = 18711.5
d(13232, 13232) = 18712.9
d(13233, 13233) = 18714.3
d(13234, 13234) = 18715.7
d(13235, 13235) = 18717.1
d(13236, 13236) = 18718.5
d(13237, 13237) = 18719.9
d(13238, 13238) = 18721.4
d(13239, 13239) = 18722.8
d(13240, 13240) = 18724.2
d(13241, 13241) = 18725.6
d(13242, 13242) = 18727
d(13243, 13243) = 18728.4
d(13244, 13244) = 18729.8
d(13245, 13245) = 18731.3
d(13246, 13246) = 18732.7
d(13247, 13247) = 18734.1
d(13248, 13248) = 18735.5
d(13249, 13249) = 18736.9
d(13250, 13250) = 18738.3
d(13251, 13251) = 18739.7
d(13252, 13252) = 18741.2
d(13253, 13253) = 18742.6
d(13254, 13254) = 18744
d(13255, 13255) = 18745.4
d(13256, 13256) = 18746.8
d(13257, 13257) = 18748.2
d(13258, 13258) = 18749.6
d(13259, 13259) = 18751.1
d(13260, 13260) = 18752.5
d(13261, 13261) = 18753.9
d(13262, 13262) = 18755.3
d(13263, 13263) = 18756.7
d(13264, 13264) = 18758.1
d(13265, 13265) = 18759.5
d(13266, 13266) = 18761
d(13267, 13267) = 18762.4
d(13268, 13268) = 18763.8
d(13269, 13269) = 18765.2
d(13270, 13270) = 18766.6
d(13271, 13271) = 18768
d(13272, 13272) = 18769.4
d(13273, 13273) = 18770.9
d(13274, 13274) = 18772.3
d(13275, 13275) = 18773.7
d(13276, 13276) = 18775.1
d(13277, 13277) = 18776.5
d(13278, 13278) = 18777.9
d(13279, 13279) = 18779.3
d(13280, 13280) = 18780.8
d(13281, 13281) = 18782.2
d(13282, 13282) = 18783.6
d(13283, 13283) = 18785
d(13284, 13284) = 18786.4
d(13285, 13285) = 18787.8
d(13286, 13286) = 18789.2
d(13287, 13287) = 18790.7
d(13288, 13288) = 18792.1
d(13289, 13289) = 18793.5
d(13290, 13290) = 18794.9
d(13291, 13291) = 18796.3
d(13292, 13292) = 18797.7
d(13293, 13293) = 18799.1
d(13294, 13294) = 18800.6
d(13295, 13295) = 18802
d(13296, 13296) = 18803.4
d(13297, 13297) = 18804.8
d(13298, 13298) = 18806.2
d(13299, 13299) = 18807.6
d(13300, 13300) = 18809
d(13301, 13301) = 18810.5
d(13302, 13302) = 18811.9
d(13303, 13303) = 18813.3
d(13304, 13304) = 18814.7
d(13305, 13305) = 18816.1
d(13306, 13306) = 18817.5
d(13307, 13307) = 18818.9
d(13308, 13308) = 18820.4
d(13309, 13309) = 18821.8
d(13310, 13310) = 18823.2
d(13311, 13311) = 18824.6
d(13312, 13312) = 18826
d(13313, 13313) = 18827.4
d(13314, 13314) = 18828.8
d(13315, 13315) = 18830.3
d(13316, 13316) = 18831.7
d(13317, 13317) = 18833.1
d(13318, 13318) = 18834.5
d(13319, 13319) = 18835.9
d(13320, 13320) = 18837.3
d(13321, 13321) = 18838.7
d(13322, 13322) = 18840.2
d(13323, 13323) = 18841.6
d(13324, 13324) = 18843
d(13325, 13325) = 18844.4
d(13326, 13326) = 18845.8
d(13327, 13327) = 18847.2
d(13328, 13328) = 18848.6
d(13329, 13329) = 18850.1
d(13330, 13330) = 18851.5
d(13331, 13331) = 18852.9
d(13332, 13332) = 18854.3
d(13333, 13333) = 18855.7
d(13334, 13334) = 18857.1
d(13335, 13335) = 18858.5
d(13336, 13336) = 18860
d(13337, 13337) = 18861.4
d(13338, 13338) = 18862.8
d(13339, 13339) = 18864.2
d(13340, 13340) = 18865.6
d(13341, 13341) = 18867
d(13342, 13342) = 18868.4
d(13343, 13343) = 18869.9
d(13344, 13344) = 18871.3
d(13345, 13345) = 18872.7
d(13346, 13346) = 18874.1
d(13347, 13347) = 18875.5
d(13348, 13348) = 18876.9
d(13349, 13349) = 18878.3
d(13350, 13350) = 18879.8
d(13351, 13351) = 18881.2
d(13352, 13352) = 18882.6
d(13353, 13353) = 18884
d(13354, 13354) = 18885.4
d(13355, 13355) = 18886.8
d(13356, 13356) = 18888.2
d(13357, 13357) = 18889.7
d(13358, 13358) = 18891.1
d(13359, 13359) = 18892.5
d(13360, 13360) = 18893.9
d(13361, 13361) = 18895.3
d(13362, 13362) = 18896.7
d(13363, 13363) = 18898.1
d(13364, 13364) = 18899.6
d(13365, 13365) = 18901
d(13366, 13366) = 18902.4
d(13367, 13367) = 18903.8
d(13368, 13368) = 18905.2
d(13369, 13369) = 18906.6
d(13370, 13370) = 18908
d(13371, 13371) = 18909.4
d(13372, 13372) = 18910.9
d(13373, 13373) = 18912.3
d(13374, 13374) = 18913.7
d(13375, 13375) = 18915.1
d(13376, 13376) = 18916.5
d(13377, 13377) = 18917.9
d(13378, 13378) = 18919.3
d(13379, 13379) = 18920.8
d(13380, 13380) = 18922.2
d(13381, 13381) = 18923.6
d(13382, 13382) = 18925
d(13383, 13383) = 18926.4
d(13384, 13384) = 18927.8
d(13385, 13385) = 18929.2
d(13386, 13386) = 18930.7
d(13387, 13387) = 18932.1
d(13388, 13388) = 18933.5
d(13389, 13389) = 18934.9
d(13390, 13390) = 18936.3
d(13391, 13391) = 18937.7
d(13392, 13392) = 18939.1
d(13393, 13393) = 18940.6
d(13394, 13394) = 18942
d(13395, 13395) = 18943.4
d(13396, 13396) = 18944.8
d(13397, 13397) = 18946.2
d(13398, 13398) = 18947.6
d(13399, 13399) = 18949
d(13400, 13400) = 18950.5
d(13401, 13401) = 18951.9
d(13402, 13402) = 18953.3
d(13403, 13403) = 18954.7
d(13404, 13404) = 18956.1
d(13405, 13405) = 18957.5
d(13406, 13406) = 18958.9
d(13407, 13407) = 18960.4
d(13408, 13408) = 18961.8
d(13409, 13409) = 18963.2
d(13410, 13410) = 18964.6
d(13411, 13411) = 18966
d(13412, 13412) = 18967.4
d(13413, 13413) = 18968.8
d(13414, 13414) = 18970.3
d(13415, 13415) = 18971.7
d(13416, 13416) = 18973.1
d(13417, 13417) = 18974.5
d(13418, 13418) = 18975.9
d(13419, 13419) = 18977.3
d(13420, 13420) = 18978.7
d(13421, 13421) = 18980.2
d(13422, 13422) = 18981.6
d(13423, 13423) = 18983
d(13424, 13424) = 18984.4
d(13425, 13425) = 18985.8
d(13426, 13426) = 18987.2
d(13427, 13427) = 18988.6
d(13428, 13428) = 18990.1
d(13429, 13429) = 18991.5
d(13430, 13430) = 18992.9
d(13431, 13431) = 18994.3
d(13432, 13432) = 18995.7
d(13433, 13433) = 18997.1
d(13434, 13434) = 18998.5
d(13435, 13435) = 19000
d(13436, 13436) = 19001.4
d(13437, 13437) = 19002.8
d(13438, 13438) = 19004.2
d(13439, 13439) = 19005.6
d(13440, 13440) = 19007
d(13441, 13441) = 19008.4
d(13442, 13442) = 19009.9
d(13443, 13443) = 19011.3
d(13444, 13444) = 19012.7
d(13445, 13445) = 19014.1
d(13446, 13446) = 19015.5
d(13447, 13447) = 19016.9
d(13448, 13448) = 19018.3
d(13449, 13449) = 19019.8
d(13450, 13450) = 19021.2
d(13451, 13451) = 19022.6
d(13452, 13452) = 19024
d(13453, 13453) = 19025.4
d(13454, 13454) = 19026.8
d(13455, 13455) = 19028.2
d(13456, 13456) = 19029.7
d(13457, 13457) = 19031.1
d(13458, 13458) = 19032.5
d(13459, 13459) = 19033.9
d(13460, 13460) = 19035.3
d(13461, 13461) = 19036.7
d(13462, 13462) = 19038.1
d(13463, 13463) = 19039.6
d(13464, 13464) = 19041
d(13465, 13465) = 19042.4
d(13466, 13466) = 19043.8
d(13467, 13467) = 19045.2
d(13468, 13468) = 19046.6
d(13469, 13469) = 19048
d(13470, 13470) = 19049.5
d(13471, 13471) = 19050.9
d(13472, 13472) = 19052.3
d(13473, 13473) = 19053.7
d(13474, 13474) = 19055.1
d(13475, 13475) = 19056.5
d(13476, 13476) = 19057.9
d(13477, 13477) = 19059.4
d(13478, 13478) = 19060.8
d(13479, 13479) = 19062.2
d(13480, 13480) = 19063.6
d(13481, 13481) = 19065
d(13482, 13482) = 19066.4
d(13483, 13483) = 19067.8
d(13484, 13484) = 19069.3
d(13485, 13485) = 19070.7
d(13486, 13486) = 19072.1
d(13487, 13487) = 19073.5
d(13488, 13488) = 19074.9
d(13489, 13489) = 19076.3
d(13490, 13490) = 19077.7
d(13491, 13491) = 19079.2
d(13492, 13492) = 19080.6
d(13493, 13493) = 19082
d(13494, 13494) = 19083.4
d(13495, 13495) = 19084.8
d(13496, 13496) = 19086.2
d(13497, 13497) = 19087.6
d(13498, 13498) = 19089.1
d(13499, 13499) = 19090.5
d(13500, 13500) = 19091.9
d(13501, 13501) = 19093.3
d(13502, 13502) = 19094.7
d(13503, 13503) = 19096.1
d(13504, 13504) = 19097.5
d(13505, 13505) = 19099
d(13506, 13506) = 19100.4
d(13507, 13507) = 19101.8
d(13508, 13508) = 19103.2
d(13509, 13509) = 19104.6
d(13510, 13510) = 19106
d(13511, 13511) = 19107.4
d(13512, 13512) = 19108.9
d(13513, 13513) = 19110.3
d(13514, 13514) = 19111.7
d(13515, 13515) = 19113.1
d(13516, 13516) = 19114.5
d(13517, 13517) = 19115.9
d(13518, 13518) = 19117.3
d(13519, 13519) = 19118.8
d(13520, 13520) = 19120.2
d(13521, 13521) = 19121.6
d(13522, 13522) = 19123
d(13523, 13523) = 19124.4
d(13524, 13524) = 19125.8
d(13525, 13525) = 19127.2
d(13526, 13526) = 19128.7
d(13527, 13527) = 19130.1
d(13528, 13528) = 19131.5
d(13529, 13529) = 19132.9
d(13530, 13530) = 19134.3
d(13531, 13531) = 19135.7
d(13532, 13532) = 19137.1
d(13533, 13533) = 19138.6
d(13534, 13534) = 19140
d(13535, 13535) = 19141.4
d(13536, 13536) = 19142.8
d(13537, 13537) = 19144.2
d(13538, 13538) = 19145.6
d(13539, 13539) = 19147
d(13540, 13540) = 19148.5
d(13541, 13541) = 19149.9
d(13542, 13542) = 19151.3
d(13543, 13543) = 19152.7
d(13544, 13544) = 19154.1
d(13545, 13545) = 19155.5
d(13546, 13546) = 19156.9
d(13547, 13547) = 19158.4
d(13548, 13548) = 19159.8
d(13549, 13549) = 19161.2
d(13550, 13550) = 19162.6
d(13551, 13551) = 19164
d(13552, 13552) = 19165.4
d(13553, 13553) = 19166.8
d(13554, 13554) = 19168.3
d(13555, 13555) = 19169.7
d(13556, 13556) = 19171.1
d(13557, 13557) = 19172.5
d(13558, 13558) = 19173.9
d(13559, 13559) = 19175.3
d(13560, 13560) = 19176.7
d(13561, 13561) = 19178.2
d(13562, 13562) = 19179.6
d(13563, 13563) = 19181
d(13564, 13564) = 19182.4
d(13565, 13565) = 19183.8
d(13566, 13566) = 19185.2
d(13567, 13567) = 19186.6
d(13568, 13568) = 19188
d(13569, 13569) = 19189.5
d(13570, 13570) = 19190.9
d(13571, 13571) = 19192.3
d(13572, 13572) = 19193.7
d(13573, 13573) = 19195.1
d(13574, 13574) = 19196.5
d(13575, 13575) = 19197.9
d(13576, 13576) = 19199.4
d(13577, 13577) = 19200.8
d(13578, 13578) = 19202.2
d(13579, 13579) = 19203.6
d(13580, 13580) = 19205
d(13581, 13581) = 19206.4
d(13582, 13582) = 19207.8
d(13583, 13583) = 19209.3
d(13584, 13584) = 19210.7
d(13585, 13585) = 19212.1
d(13586, 13586) = 19213.5
d(13587, 13587) = 19214.9
d(13588, 13588) = 19216.3
d(13589, 13589) = 19217.7
d(13590, 13590) = 19219.2
d(13591, 13591) = 19220.6
d(13592, 13592) = 19222
d(13593, 13593) = 19223.4
d(13594, 13594) = 19224.8
d(13595, 13595) = 19226.2
d(13596, 13596) = 19227.6
d(13597, 13597) = 19229.1
d(13598, 13598) = 19230.5
d(13599, 13599) = 19231.9
d(13600, 13600) = 19233.3
d(13601, 13601) = 19234.7
d(13602, 13602) = 19236.1
d(13603, 13603) = 19237.5
d(13604, 13604) = 19239
d(13605, 13605) = 19240.4
d(13606, 13606) = 19241.8
d(13607, 13607) = 19243.2
d(13608, 13608) = 19244.6
d(13609, 13609) = 19246
d(13610, 13610) = 19247.4
d(13611, 13611) = 19248.9
d(13612, 13612) = 19250.3
d(13613, 13613) = 19251.7
d(13614, 13614) = 19253.1
d(13615, 13615) = 19254.5
d(13616, 13616) = 19255.9
d(13617, 13617) = 19257.3
d(13618, 13618) = 19258.8
d(13619, 13619) = 19260.2
d(13620, 13620) = 19261.6
d(13621, 13621) = 19263
d(13622, 13622) = 19264.4
d(13623, 13623) = 19265.8
d(13624, 13624) = 19267.2
d(13625, 13625) = 19268.7
d(13626, 13626) = 19270.1
d(13627, 13627) = 19271.5
d(13628, 13628) = 19272.9
d(13629, 13629) = 19274.3
d(13630, 13630) = 19275.7
d(13631, 13631) = 19277.1
d(13632, 13632) = 19278.6
d(13633, 13633) = 19280
d(13634, 13634) = 19281.4
d(13635, 13635) = 19282.8
d(13636, 13636) = 19284.2
d(13637, 13637) = 19285.6
d(13638, 13638) = 19287
d(13639, 13639) = 19288.5
d(13640, 13640) = 19289.9
d(13641, 13641) = 19291.3
d(13642, 13642) = 19292.7
d(13643, 13643) = 19294.1
d(13644, 13644) = 19295.5
d(13645, 13645) = 19296.9
d(13646, 13646) = 19298.4
d(13647, 13647) = 19299.8
d(13648, 13648) = 19301.2
d(13649, 13649) = 19302.6
d(13650, 13650) = 19304
d(13651, 13651) = 19305.4
d(13652, 13652) = 19306.8
d(13653, 13653) = 19308.3
d(13654, 13654) = 19309.7
d(13655, 13655) = 19311.1
d(13656, 13656) = 19312.5
d(13657, 13657) = 19313.9
d(13658, 13658) = 19315.3
d(13659, 13659) = 19316.7
d(13660, 13660) = 19318.2
d(13661, 13661) = 19319.6
d(13662, 13662) = 19321
d(13663, 13663) = 19322.4
d(13664, 13664) = 19323.8
d(13665, 13665) = 19325.2
d(13666, 13666) = 19326.6
d(13667, 13667) = 19328.1
d(13668, 13668) = 19329.5
d(13669, 13669) = 19330.9
d(13670, 13670) = 19332.3
d(13671, 13671) = 19333.7
d(13672, 13672) = 19335.1
d(13673, 13673) = 19336.5
d(13674, 13674) = 19338
